Name,WC1,WC2,WC2X,WC3,WC3X,WoW,WoWBC,WoWWotLK,WoWC,WoWMoP,WoWWoD,WoWL,WoWBfA,WoWS,WoWD
Terokk,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Talon_King_Ikiss,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Archimonde,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
Kil'jaeden,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
Mannoroth,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Balnazzar,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Magtheridon,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mal'Ganis,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
Tichondrius,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Varimathras,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Azgalor,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
Hakkar_the_Houndmaster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kazzak,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Velen,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
Akama,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0
Nobundo,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
Vindicator_Maraad,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Yrel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Alexstrasza,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
Kalecgos/Kalec,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
Malygos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neltharion_(Deathwing)/Lord_Daval_Prestor,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
Nozdormu,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Ysera,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Korialstrasz/Krasus/Borel,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Eranikus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
