score,affiliation
0.022519332466495918,alliance
0.0044340431164025425,alliance
0.012729931247090343,alliance
0.014965837137191606,alliance
0.024416781135413873,alliance
0.009666384182667322,alliance
0.03487432578046296,alliance
0.00844050003297884,alliance
0.0009324102902849987,alliance
0.0064012100387857585,alliance
0.0036338735325329454,alliance
0.0013193356738765852,alliance
0.008226921377934383,alliance
0.008500865255594915,alliance
0.005058194286452148,alliance
0.011925062179111308,alliance
0.027523586279693854,alliance
0.034852281905941446,alliance
0.0230432537465934,alliance
0.0035277219497488977,alliance
0.00028090866176867124,alliance
0.01149057642777744,alliance
0.005142076761324197,alliance
0.0036765978950133917,alliance
0.011845278994134572,alliance
0.05204710850937701,alliance
0.054411987513311805,alliance
0.005815710705238778,alliance
0.039178249318361086,alliance
0.051415712951413575,alliance
0.004265311821399531,alliance
0.0009579773531296992,alliance
0.009885946551870363,alliance
0.007332261755942358,alliance
0.0026222104355569428,alliance
0.0012727833027505891,alliance
0.001657354613084037,alliance
0.0022650279878756174,alliance
0.0021082341203671057,alliance
0.000369252574154731,alliance
0.0,alliance
0.0013929446004845828,alliance
0.0016179336388205175,alliance
0.000673637669468108,alliance
0.0,alliance
0.0,alliance
2.2856394409072997e-05,alliance
0.0001133860071574844,alliance
2.7959437229487507e-05,alliance
0.0009503424030192747,alliance
0.0,alliance
3.056156133313025e-06,alliance
2.2211386881235315e-05,alliance
1.2997013974061077e-05,alliance
0.0,alliance
3.7420061821270567e-05,alliance
1.2034268064820914e-05,alliance
3.3290573177236456e-05,alliance
2.5890888228746422e-06,alliance
4.302542129929551e-05,alliance
2.8830254233447584e-05,alliance
3.232359119445166e-06,alliance
0.0004241517754510975,alliance
0.0011512207918410032,alliance
0.00028493899464171924,alliance
3.1592676723412095e-06,alliance
0.0,alliance
0.00021338611953094144,alliance
1.3335046784287558e-05,alliance
0.000862154327105639,alliance
0.0,alliance
0.00015843268776364572,alliance
0.0,alliance
0.00021266800829023967,alliance
0.0,alliance
7.583478299482925e-07,alliance
0.0,alliance
0.00011759574160777846,alliance
1.4364525005382564e-05,alliance
9.047645807595456e-05,alliance
8.864526577883609e-05,alliance
3.306283872410714e-05,alliance
9.648663991666181e-05,alliance
0.0001329184896655331,alliance
0.0,alliance
0.0003805144395520133,alliance
0.00015575236992357736,alliance
3.933349286727443e-05,alliance
0.0010266916759922116,alliance
0.0006334796733390601,alliance
4.9838185781377945e-05,alliance
0.0,alliance
0.0,alliance
7.248541534238711e-06,alliance
5.89825568867775e-05,alliance
3.563387242363106e-05,alliance
2.3497139747038613e-05,alliance
1.0857929248427864e-05,alliance
0.0001212570022493363,alliance
0.005923058725805692,horde
0.006816653557975164,horde
0.007793964723729101,horde
0.008148298144998865,horde
0.01933724510942858,horde
0.0006154545408165656,horde
0.01093733829585993,horde
0.0002761516419842449,horde
4.843716682894618e-05,horde
0.00035645113613742954,horde
0.009099882680123175,horde
0.0017197752776791399,horde
0.00408208671093404,horde
2.873051160334984e-05,horde
0.0025101110700658518,horde
0.007142530189296497,horde
0.10255879942090218,horde
0.003516158259599238,horde
0.0024014618192518067,horde
0.014217560095901654,horde
0.0016027745769578974,horde
0.00242545563319243,horde
0.004185156000603414,horde
0.005220306918093769,horde
0.003257302427186304,horde
0.006015901967994594,horde
0.005007928066878839,horde
0.000582417851773881,horde
0.00028408224720807227,horde
0.06551124533450838,horde
0.001679976797521077,horde
0.007978240755306726,horde
0.022629538443507236,horde
0.005436444344482759,horde
0.035048086310108764,horde
0.005243667166700755,horde
0.0046705603684528115,horde
0.008151191401480054,horde
0.031147911251165238,horde
0.012405289780661325,horde
0.017997435454140624,horde
0.0,horde
0.0,horde
7.930581233477264e-05,horde
3.153385306399652e-07,horde
0.0,horde
0.00015413901694524612,horde
7.481627603362464e-05,horde
0.0002524826366853702,horde
0.0033241843823012644,horde
0.0,horde
0.0,horde
4.8260925255562335e-05,horde
3.144040004313942e-05,horde
0.0,horde
8.89307141201312e-05,horde
0.0001620053812404106,horde
0.0010290232552188456,horde
0.0,horde
1.4133806131813583e-05,horde
0.0,horde
0.0,horde
2.5311745090708943e-06,horde
1.9688050011077997e-05,horde
6.618767581477096e-06,horde
1.4128053893858893e-05,horde
0.0,horde
0.0,horde
0.0,horde
1.3583514242929071e-06,horde
8.237207786317548e-07,horde
0.0,horde
1.9779170302273543e-05,horde
2.6822775821479022e-05,horde
4.440443839787612e-05,horde
0.0,horde
0.00032193366258183813,horde
0.0,horde
0.0,horde
0.00019879339630542788,horde
2.525274905249371e-05,horde
0.0002921301549332096,horde
0.00045948035787006817,horde
0.00010540307770398713,horde
1.578782594833398e-05,horde
0.00025107255841940026,horde
0.00015790817520466393,horde
0.0,horde
0.0,horde
9.604871812178121e-07,horde
0.0016715536480176295,horde
0.0,horde
0.0,horde
0.0,horde
0.0,horde
0.0016688997952906282,horde
0.00014865313013018842,horde
0.0,horde
0.00029449298669262256,horde
0.0,horde
6.432338698735899e-05,horde
5.426912615586049e-05,horde
0.0,horde
0.0,horde
1.8824752528226617e-05,horde
0.0010503191181174027,horde
7.137928533800349e-06,horde
7.37651476103526e-05,horde
0.0005982201560084294,horde
0.0001762808956552575,horde
2.8009391928797314e-06,horde
0.0,horde
0.0,horde
7.666092282714509e-05,horde
0.0,horde
0.000256721661237339,horde
1.722306708668712e-05,horde
0.00414682321880854,horde
1.0590952543020364e-05,horde
